Area Code,Cogs,DifferenceBetweenActualandTargetProfit,Date,Inventory Margin,Margin,Market_size,Market_Area,Marketing_Cost,Product_line,Product_type,Product,Profit,Sales,State,Target_cogs,Target_margin,Target_profit,Target_sales ,Total_expenses,Type,Calculated_Profit,Profit_Match,Net_Profit_Status
303,51,-35,2012-10-01,503,71,major market,central,46,leaves,herbal tea,lemon,-5,122,colorado,30,60,30,90,76,decaf,-5,True,net negative
970,52,-24,2012-10-01,405,71,major market,central,17,leaves,herbal tea,mint,26,123,colorado,30,60,50,90,45,decaf,26,True,net positive
409,43,-22,2012-10-02,419,64,major market,south,13,leaves,herbal tea,lemon,28,107,texas,30,60,50,90,36,decaf,28,True,net positive
850,38,-15,2012-10-03,871,56,major market,east,10,leaves,tea,darjeeling,35,94,florida,40,60,50,100,21,regular,35,True,net positive
562,72,6,2012-10-04,650,110,major market,west,23,leaves,tea,green tea,56,182,california,20,60,50,80,54,regular,56,True,net positive
712,0,-29,2012-10-05,430,43,small market,central,0,beans,espresso,decaf espresso,31,43,iowa,0,60,60,60,12,decaf,31,True,net positive
860,47,-29,2012-10-06,375,64,small market,east,15,beans,espresso,decaf espresso,21,111,connecticut,30,60,50,90,43,decaf,21,True,net positive
918,27,-39,2012-10-07,859,39,small market,south,7,beans,coffee,decaf irish cream,21,66,oklahoma,30,60,60,90,18,decaf,21,True,net positive
775,31,-43,2012-10-08,1000,37,small market,west,9,beans,coffee,decaf irish cream,7,68,nevada,30,60,50,90,30,decaf,7,True,net positive
435,40,-23,2012-10-09,881,59,small market,west,11,beans,espresso,decaf espresso,37,99,utah,20,60,60,80,22,decaf,37,True,net positive
603,49,-27,2012-10-10,310,71,small market,east,15,beans,coffee,amaretto,33,120,new hampshire,30,60,60,90,38,regular,33,True,net positive
603,45,-26,2012-10-11,447,69,small market,east,14,beans,coffee,colombian,24,114,new hampshire,30,60,50,90,45,regular,24,True,net positive
603,45,-37,2012-10-12,320,64,small market,east,41,beans,espresso,caffe mocha,-7,109,new hampshire,30,60,30,90,71,regular,-7,True,net negative
318,60,-9,2012-10-13,-762,84,small market,south,54,beans,espresso,caffe latte,1,144,louisiana,30,60,10,90,83,regular,1,True,net positive
775,34,-32,2012-10-14,240,43,small market,west,12,beans,coffee,colombian,-2,77,nevada,40,60,30,100,45,regular,-2,True,net negative
503,54,-28,2012-10-15,404,66,small market,west,20,beans,espresso,caffe latte,12,120,oregon,40,60,40,100,54,regular,12,True,net positive
573,45,-36,2012-10-16,320,64,small market,central,41,leaves,herbal tea,chamomile,-6,109,missouri,20,60,30,80,70,decaf,-6,True,net negative
262,48,-15,2012-10-17,851,70,small market,central,13,leaves,herbal tea,lemon,45,118,wisconsin,30,60,60,90,25,decaf,45,True,net positive
801,49,-27,2012-10-18,310,71,small market,west,15,leaves,herbal tea,chamomile,33,120,utah,30,60,60,90,38,decaf,33,True,net positive
425,48,-13,2012-10-19,829,71,small market,west,13,leaves,herbal tea,lemon,47,119,washington,30,60,60,90,24,decaf,47,True,net positive
860,40,-14,2012-10-20,881,59,small market,east,11,leaves,tea,darjeeling,36,99,connecticut,40,60,50,100,23,regular,36,True,net positive
971,82,14,2012-10-21,788,123,small market,west,27,leaves,tea,earl grey,64,205,oregon,30,60,50,90,59,regular,64,True,net positive
971,91,26,2012-10-22,656,127,small market,west,28,leaves,tea,green tea,76,218,oregon,40,60,50,100,51,regular,76,True,net positive
